,waste_per_capita,population,rank
Madagascar,0.26640432705550693,27691018.0,135
Guyana,0.26317395416959083,786552.0,N/A
Liberia,0.2549761714446026,5057681.0,136
Benin,0.10576644671791322,12123200.0,137
Mauritania,0.02715382299502759,4649658.0,138
Papua New Guinea,0.012937071047678704,8947024.0,139
North Korea,0.0,25778816.0,140
Cayman Islands,0.0,65722.0,N/A
Bahamas,0.0,393244.0,N/A
New Caledonia,0.0,285498.0,N/A
Puerto Rico,0.0,2860853.0,141
Mali,0.0,20250833.0,142
Rwanda,0.0,12952218.0,143
Dominica,0.0,71986.0,N/A
South Sudan,0.0,11193725.0,144
French Polynesia,0.0,280908.0,N/A
Eritrea,0.0,3546421.0,145
Lesotho,0.0,2142249.0,146
