Owner Name	Sum of 2019 Production	Sum of 2019 Production2	Sum of 2025 Production	Sum of 2025 Production2
PolyMirae Company	0	0	162	0.0005453691186
Pingliang Huahong Huijin Coal Chemical	0	0	444.4322495	0.00149617052
Pertamina	0	0	64.8	0.0002181476474
Pembina Resources	0	0	231	0.0007776559654
Pasargad Energy Development (PEDC)	0	0	363.7130256	0.001224431186
Parsian Investment	0	0	217.1144081	0.0007309104531
Parsian Bank	0	0	116.9077582	0.0003935671671
Nayara Energy	0	0	378.2021874	0.001273208603
Nanshan Group	0	0	814.8463986	0.002743160878
MetCap Energy Investments	0	0	394.4415221	0.001327877934
Mamsani Petrochemical	0	0	18.48	0.00006221247723
Mahan Chimie	0	0	676.3628885	0.002276959459
Lotte Chemical Titan Holding	0	0	792	0.002666249024
Longyou	0	0	711.1464996	0.002394057652
Long Son Petrochemical	0	0	345.465	0.001162999645
LiHeZhiXin new material company	0	0	230.1814414	0.0007749003076
Kuwait Petroleum Corporation (KPC)	0	0	2008.6	0.006761903776
Kingfa Group	0	0	613.8171771	0.00206640082
Kazeroun Petrochemical	0	0	11.55	0.00003888279827
KazAzot	0	0	181.8046293	0.0006120409287
Juhua Group	0	0	496.4945306	0.001671436942
Inter Pipeline Fund	0	0	441	0.001484615934
Inner Mongolia Berun Holding Group	0	0	284.3610869	0.000957294786
Hyundai Oilbank	0	0	378.6048908	0.001274564294
Huating Coal	0	0	122.7634354	0.0004132801641
Huatai Shengfu	0	0	283.928021	0.0009558368799
Hengli	0	0	941.327941	0.00316895796
Grupa Lotus	0	0	576.75	0.001941615057
Grupa Azoty	0	0	896.75	0.00301888739
Fusion Dynamics	0	0	394.4415221	0.001327877934
Fateh Kimia	0	0	363.7130256	0.001224431186
Etana	0	0	348.7179487	0.001173950619
EBRD	0	0	21.29385325	0.0000716852468
Dongming	0	0	153.4542943	0.0005166002051
Di Arya Polymer	0	0	222.6814442	0.0007496517468
Dehloran Sepehr Petrochemical	0	0	0.1027022166	0.0000003457445516
Dehdasht Petrochemical	0	0	25.41	0.0000855421562
Datong Coal	0	0	443.1274571	0.001491777968
Dangote Group	0	0	648	0.002181476474
Dalian Kunpeng	0	0	268.545015	0.0009040503589
Chongqing Pengwei	0	0	183.7270987	0.0006185128757
China Gas	0	0	69.05443243	0.0002324700923
Chambroad Petrochemical	0	0	460.3628829	0.001549800615
Bohai Group	0	0	230.1814414	0.0007749003076
Baolai Group	0	0	1026.914132	0.003457081823
Ardebil Petrochemical	0	0	1098.561792	0.003698281951
Ahdaf Inves‌tment	0	0	342.2380199	0.001152136094
Grand Total	203372.5643	1	297046.5222	1
