Country,Population,Region
Gibraltar,33691,Greater Europe
Holy See,801,Greater Europe
United States,331002651,Americas
Canada,37742154,Americas
Bermuda,62278,Americas
Greenland,56770,Americas
Saint Pierre & Miquelon,5794,Americas
Brazil,212559417,Americas
Mexico,128932753,Americas
Colombia,50882891,Americas
Argentina,45195774,Americas
Peru,32971854,Americas
Venezuela,28435940,Americas
Chile,19116201,Americas
Guatemala,17915568,Americas
Ecuador,17643054,Americas
Bolivia,11673021,Americas
Cuba,11326616,Americas
Haiti,11402528,Americas
Dominican Republic,10847910,Americas
Honduras,9904607,Americas
Paraguay,7132538,Americas
Nicaragua,6624554,Americas
El Salvador,6486205,Americas
Costa Rica,5094118,Americas
Panama,4314767,Americas
Uruguay,3473730,Americas
Jamaica,2961167,Americas
Puerto Rico,2860853,Americas
Trinidad and Tobago,1399488,Americas
Guyana,786552,Americas
Suriname,586632,Americas
Guadeloupe,400124,Americas
Belize,397628,Americas
Bahamas,393244,Americas
Martinique,375265,Americas
French Guiana,298682,Americas
Barbados,287375,Americas
Saint Lucia,183627,Americas
Curaçao,164093,Americas
Grenada,112523,Americas
St. Vincent & Grenadines,110940,Americas
Aruba,106766,Americas
U.S. Virgin Islands,104425,Americas
Antigua and Barbuda,97929,Americas
Dominica,71986,Americas
Cayman Islands,65722,Americas
Saint Kitts & Nevis,53199,Americas
Sint Maarten,42876,Americas
Turks and Caicos,38717,Americas
Saint Martin,38666,Americas
British Virgin Islands,30231,Americas
Caribbean Netherlands,26223,Americas
Anguilla,15003,Americas
Montserrat,4992,Americas
Falkland Islands,3480,Americas
